Date,Open,High,Low,Close,Adj Close,Volume
2018-06-06,406.920013,411.01001,404.5,410.269989,410.269989,575100
2018-06-07,411.51001,413.890015,393.769989,405.619995,405.619995,690600
2018-06-08,405.290009,414.940002,405.200012,409.769989,409.769989,537800
2018-06-11,409.769989,420.07000700000003,408.459991,418.209991,418.209991,404600
2018-06-12,420.0,432.380005,419.0,430.85000599999995,430.85000599999995,815300
2018-06-13,431.049988,438.23999000000003,427.01000999999997,433.07000700000003,433.07000700000003,852700
2018-06-14,435.19000199999994,444.799988,434.589996,440.64999400000005,440.64999400000005,708100
2018-06-15,441.0,445.450012,435.48001100000005,443.579987,443.579987,799000
2018-06-18,440.089996,446.80999800000006,435.76998899999995,443.14999400000005,443.14999400000005,691600
2018-06-19,438.619995,441.67999299999997,432.02999900000003,439.64001500000006,439.64001500000006,986500
2018-06-20,441.10000599999995,450.92999299999997,441.10000599999995,446.209991,446.209991,583000
2018-06-21,450.05999800000006,450.64999400000005,433.51000999999997,438.26998899999995,438.26998899999995,603200
2018-06-22,443.14999400000005,444.07000700000003,426.98999000000003,427.290009,427.290009,1043000
2018-06-25,420.73999000000003,421.98999000000003,402.179993,416.200012,416.200012,1083000
2018-06-26,419.230011,430.76998899999995,413.019989,428.369995,428.369995,846300
2018-06-27,429.200012,432.619995,409.579987,410.640015,410.640015,635300
2018-06-28,409.089996,417.5,398.0,413.940002,413.940002,743200
2018-06-29,419.140015,422.959991,408.850006,409.049988,409.049988,577200
2018-07-02,407.0,415.309998,400.519989,412.51001,412.51001,422600
2018-07-03,414.910004,414.97000099999997,408.929993,409.52999900000003,409.52999900000003,314200
2018-07-05,410.200012,411.399994,392.200012,400.579987,400.579987,882300
2018-07-06,400.72000099999997,409.51001,399.0,405.98999,405.98999,622900
2018-07-09,407.880005,413.859985,403.160004,408.459991,408.459991,608700
2018-07-10,413.089996,413.5,399.730011,405.149994,405.149994,644800
2018-07-11,402.670013,408.0,399.179993,403.790009,403.790009,398900
2018-07-12,408.190002,415.019989,408.160004,414.609985,414.609985,1290500
2018-07-13,416.230011,421.10998499999994,413.869995,418.76001,418.76001,530000
2018-07-16,419.329987,421.76000999999997,417.059998,419.380005,419.380005,610800
2018-07-17,417.609985,428.60998499999994,417.609985,427.369995,427.369995,1019700
